MPEG-7 Color Layout0,MPEG-7 Color Layout1,MPEG-7 Color Layout2,MPEG-7 Color Layout3,MPEG-7 Color Layout4,MPEG-7 Color Layout5,MPEG-7 Color Layout6,MPEG-7 Color Layout7,MPEG-7 Color Layout8,MPEG-7 Color Layout9,MPEG-7 Color Layout10,MPEG-7 Color Layout11,MPEG-7 Color Layout12,MPEG-7 Color Layout13,MPEG-7 Color Layout14,MPEG-7 Color Layout15,MPEG-7 Color Layout16,MPEG-7 Color Layout17,MPEG-7 Color Layout18,MPEG-7 Color Layout19,MPEG-7 Color Layout20,MPEG-7 Color Layout21,MPEG-7 Color Layout22,MPEG-7 Color Layout23,MPEG-7 Color Layout24,MPEG-7 Color Layout25,MPEG-7 Color Layout26,MPEG-7 Color Layout27,MPEG-7 Color Layout28,MPEG-7 Color Layout29,MPEG-7 Color Layout30,MPEG-7 Color Layout31,MPEG-7 Color Layout32,class1
52,13,22,27,14,16,15,15,21,7,12,17,14,16,16,15,15,16,17,11,19,18,14,18,24,15,17,37,15,16,15,15,16,BACTERIAL_LEAF_BLIGHT
52,13,21,28,15,15,15,15,20,7,10,18,14,16,16,15,15,16,16,12,18,16,14,18,26,15,17,37,15,16,15,15,16,BACTERIAL_LEAF_BLIGHT
48,12,25,26,15,17,15,15,16,10,18,19,16,16,16,16,15,15,14,17,10,12,13,20,27,14,17,38,15,15,14,16,15,BACTERIAL_LEAF_BLIGHT
53,10,18,27,14,16,15,15,20,11,13,18,14,15,15,15,15,17,16,15,18,16,12,16,26,13,16,37,15,15,14,16,16,BACTERIAL_LEAF_BLIGHT
50,14,19,28,14,15,15,16,17,14,16,18,17,15,15,15,16,15,15,16,11,14,14,15,28,15,16,36,15,15,14,16,15,BACTERIAL_LEAF_BLIGHT
47,11,22,29,14,15,15,15,17,7,12,20,15,15,16,15,15,16,16,18,17,14,13,17,27,15,16,35,15,16,16,16,15,BACTERIAL_LEAF_BLIGHT
51,18,13,28,17,15,16,16,14,20,8,13,15,16,16,16,16,16,15,13,15,15,18,15,27,17,15,36,16,15,16,16,15,BACTERIAL_LEAF_BLIGHT
51,18,18,27,14,20,17,14,13,12,9,19,12,16,16,16,16,13,18,16,16,19,17,17,24,15,18,37,15,15,16,16,16,BACTERIAL_LEAF_BLIGHT
51,17,15,27,13,17,18,16,14,16,9,22,14,15,16,15,16,14,15,17,15,20,16,16,24,14,16,37,15,15,16,16,16,BACTERIAL_LEAF_BLIGHT
54,15,29,15,13,15,16,15,22,8,18,12,17,15,15,16,16,17,14,16,17,12,15,29,18,14,18,33,16,13,17,16,17,BROWN_SPOT
49,15,16,29,26,16,15,15,16,12,17,7,11,17,15,16,16,16,15,18,16,11,16,10,26,24,16,36,17,17,14,15,15,BROWN_SPOT
44,14,28,28,13,15,16,17,18,16,5,19,16,15,16,16,16,16,10,16,16,12,13,28,16,17,16,35,15,12,16,15,15,BROWN_SPOT
50,10,5,18,16,14,16,16,13,12,14,13,15,17,15,15,15,16,17,15,13,6,11,8,24,20,16,39,16,17,17,14,16,BROWN_SPOT
44,11,6,23,10,17,15,15,15,13,20,11,16,15,16,16,16,15,18,14,14,10,18,12,24,11,16,37,13,16,13,15,16,BROWN_SPOT
56,17,27,18,16,15,16,15,14,13,13,15,16,15,15,16,16,16,15,16,16,6,18,30,22,16,16,27,17,19,16,15,15,BROWN_SPOT
51,18,7,23,12,14,16,17,16,12,17,16,16,15,16,16,16,16,16,15,15,3,20,3,26,12,16,26,16,14,18,15,15,BROWN_SPOT
49,21,11,28,22,13,15,12,19,14,17,18,14,16,16,15,16,16,15,16,17,5,17,14,28,22,13,41,16,16,11,14,16,BROWN_SPOT
38,15,9,24,16,15,15,18,15,14,19,16,15,16,16,15,17,14,17,14,17,2,15,13,10,15,15,44,15,17,16,15,16,BROWN_SPOT
37,17,12,23,13,16,16,15,17,15,19,17,15,16,16,16,16,15,15,15,18,2,15,11,9,16,15,43,16,16,18,16,15,BROWN_SPOT
52,10,7,27,20,18,16,18,22,18,15,18,14,16,16,15,16,16,16,21,16,8,13,8,26,26,15,39,16,17,12,12,16,BROWN_SPOT
57,14,18,27,17,16,16,16,17,12,11,13,16,15,16,16,15,15,15,16,16,20,15,17,26,16,17,34,14,15,13,15,15,BROWN_SPOT
50,18,18,27,22,15,15,16,15,16,21,17,14,16,15,16,15,17,15,14,15,4,17,21,29,24,15,40,17,14,12,14,15,BROWN_SPOT
48,19,23,24,20,15,16,16,18,17,17,14,15,16,16,16,16,16,16,16,16,2,22,25,23,23,17,40,15,14,16,15,14,BROWN_SPOT
35,15,12,22,22,16,15,13,15,12,14,17,17,17,16,16,14,15,16,15,13,5,11,14,11,17,16,37,16,15,20,16,15,BROWN_SPOT
34,21,20,19,14,14,16,16,17,13,13,17,15,15,15,16,16,16,15,15,14,0,10,10,13,18,17,39,17,16,19,15,15,BROWN_SPOT
46,22,15,29,25,14,16,15,16,12,20,13,13,17,16,16,15,16,12,15,14,9,18,14,26,24,15,35,16,15,15,14,15,BROWN_SPOT
54,24,25,15,21,16,16,11,11,22,14,10,12,16,16,16,15,17,20,14,16,7,24,29,13,19,18,38,14,12,15,15,14,BROWN_SPOT
57,16,13,27,14,17,15,16,14,21,9,18,14,15,16,16,16,15,14,18,13,16,15,12,27,13,16,30,16,15,18,15,15,BROWN_SPOT
50,17,21,28,14,16,16,16,16,13,20,16,15,15,15,16,16,16,15,16,12,11,17,23,28,14,15,36,15,15,15,16,16,BROWN_SPOT
50,17,21,28,16,16,16,15,17,11,16,14,16,15,16,16,15,16,15,12,12,12,17,23,27,14,16,34,16,16,16,16,16,BROWN_SPOT
43,14,25,26,17,15,15,16,14,15,16,18,16,16,16,16,16,15,16,14,11,10,14,19,27,16,16,38,15,16,16,16,15,BROWN_SPOT
53,17,20,28,16,17,16,16,14,8,11,15,14,16,16,16,15,15,15,17,18,15,16,19,26,16,16,35,15,16,16,16,16,BROWN_SPOT
52,15,18,28,16,16,16,16,15,11,10,14,15,16,16,16,15,15,15,17,16,14,15,18,26,16,16,35,15,16,16,16,16,BROWN_SPOT
53,14,20,26,17,17,16,15,16,8,12,15,14,15,17,16,15,15,17,17,18,16,15,19,25,16,16,36,15,16,16,16,16,BROWN_SPOT
55,17,19,26,15,17,15,15,15,9,11,16,15,16,16,15,16,16,15,15,18,14,17,20,27,15,17,36,15,15,15,16,15,BROWN_SPOT
52,16,17,28,16,15,16,16,15,12,12,15,16,15,16,15,15,15,15,15,16,12,17,18,28,16,15,37,15,15,15,16,16,BROWN_SPOT
54,17,18,26,15,16,16,16,14,11,13,16,16,16,16,16,15,15,15,16,16,12,16,19,28,16,17,39,16,16,13,16,16,BROWN_SPOT
51,14,22,26,18,15,16,16,14,10,15,14,15,16,16,16,15,15,15,16,13,10,15,23,27,18,15,38,15,15,15,15,16,BROWN_SPOT
53,15,15,28,17,16,15,16,16,16,9,12,15,16,16,15,15,16,15,15,15,14,16,16,27,17,16,36,16,16,16,15,16,BROWN_SPOT
51,15,17,28,18,16,16,16,16,14,12,13,15,16,16,15,15,15,16,15,15,12,17,18,28,17,15,36,15,15,16,16,16,BROWN_SPOT
49,15,23,27,20,16,15,16,12,13,17,14,15,16,16,16,15,15,15,15,12,11,15,21,27,20,16,37,15,15,14,15,16,BROWN_SPOT
55,15,20,23,19,15,16,16,13,9,15,11,14,16,15,15,16,15,17,21,18,20,15,18,21,18,15,39,15,16,15,15,16,BROWN_SPOT
52,13,25,24,17,15,16,16,16,7,17,17,15,16,15,16,16,15,16,14,13,15,14,24,24,17,15,36,15,15,15,16,16,BROWN_SPOT
53,17,17,28,19,17,16,14,13,12,8,9,13,15,16,16,15,16,17,18,18,22,16,16,22,17,15,35,16,16,17,16,16,BROWN_SPOT
52,16,24,27,17,16,16,15,14,6,14,16,15,16,16,16,16,15,16,17,17,17,15,21,24,17,16,35,16,16,17,15,16,BROWN_SPOT
52,16,21,26,19,16,15,16,13,11,16,13,15,16,16,15,15,16,15,16,14,12,13,19,27,19,19,38,16,15,15,15,15,BROWN_SPOT
55,16,17,26,17,17,17,15,15,13,8,13,13,15,16,16,15,14,16,18,16,17,15,17,26,17,17,36,15,15,16,16,16,BROWN_SPOT
49,15,20,29,16,15,16,16,15,13,16,16,15,16,16,15,16,15,15,16,11,11,15,17,28,16,15,36,15,16,15,16,16,BROWN_SPOT
43,18,20,28,13,16,16,16,16,15,21,16,16,15,16,16,15,16,15,15,10,9,18,16,28,14,15,34,15,16,17,15,16,BROWN_SPOT
54,16,3,10,17,15,15,15,10,23,17,13,16,14,15,15,16,15,16,14,16,12,16,3,12,16,18,33,15,17,17,15,17,BROWN_SPOT
49,16,12,29,26,16,16,17,17,20,17,8,11,16,15,16,16,15,15,14,16,11,15,19,26,24,16,36,14,14,13,14,15,BROWN_SPOT
44,18,3,28,13,15,15,14,13,17,4,18,15,15,16,15,15,15,20,15,15,12,18,3,15,17,16,35,16,19,16,15,15,BROWN_SPOT
50,21,25,19,16,14,15,15,18,18,15,14,16,17,15,16,16,15,15,16,17,6,20,20,24,20,16,38,15,15,17,15,16,BROWN_SPOT
44,20,25,23,10,17,16,16,16,17,21,11,17,15,16,15,15,16,13,17,17,10,13,18,24,11,16,37,18,16,13,15,16,BROWN_SPOT
56,15,4,18,16,15,16,16,17,18,13,15,16,15,15,15,15,15,15,15,16,6,13,1,21,16,15,27,15,12,16,15,15,BROWN_SPOT
51,13,21,24,12,14,16,14,14,17,19,15,16,16,16,15,15,15,15,15,16,3,11,24,26,12,15,26,15,16,18,15,15,BROWN_SPOT
49,11,17,28,21,13,16,19,13,18,18,17,14,16,16,16,16,15,16,17,15,5,14,13,28,21,13,41,16,16,11,14,16,BROWN_SPOT
38,16,14,25,15,15,16,15,16,15,21,15,14,15,16,16,15,17,15,16,17,2,16,19,12,16,15,44,16,15,16,15,16,BROWN_SPOT
37,14,12,23,15,16,16,16,13,15,18,16,15,16,15,16,15,17,15,15,19,2,17,21,14,16,15,44,15,15,17,16,15,BROWN_SPOT
52,20,23,27,21,19,15,14,10,13,16,18,13,16,16,16,16,16,15,11,15,8,17,22,26,25,16,39,15,14,12,13,16,BROWN_SPOT
57,17,13,27,17,16,15,15,14,20,11,13,15,15,16,15,16,16,16,15,15,20,16,14,26,16,17,34,17,16,13,15,15,BROWN_SPOT
50,14,6,25,19,15,16,17,18,16,16,14,15,15,15,15,16,14,16,20,18,4,14,3,26,21,15,40,15,20,14,15,15,BROWN_SPOT
48,13,7,18,19,15,16,17,17,21,12,14,15,15,15,16,17,16,16,17,20,2,11,7,16,18,16,40,16,15,16,15,15,BROWN_SPOT
35,16,11,20,16,16,16,15,20,18,19,13,18,15,16,15,15,16,14,18,12,5,20,19,13,12,16,37,15,13,18,17,15,BROWN_SPOT
34,10,11,16,14,14,15,15,13,20,13,15,15,16,15,15,15,15,16,16,16,0,21,20,17,17,17,39,15,13,18,16,15,BROWN_SPOT
46,9,9,28,24,14,15,17,18,20,20,13,13,16,15,16,17,15,17,19,19,9,13,12,26,23,15,35,15,17,16,14,15,BROWN_SPOT
55,8,9,13,18,15,16,20,22,14,10,13,15,16,15,16,16,14,9,15,17,7,7,3,7,15,17,38,17,20,16,16,14,BROWN_SPOT
